SampleYear,DoubleReadYear,Source,SampleType,SpeciesID,SpecimenID,DoubleReadSampleID,Original_Age_Estimate,Original_Age_Date,Original_AgerID,DoubleRead_Age_Estimate,DoubleRead_Age_Date,DoubleRead_AgerID,Purpose
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-6,817,3,4/12/1997,mmann,4,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-7,817,14,4/12/1997,mmann,10,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-8,817,8,4/12/1997,mmann,4,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-9,817,4,4/12/1997,mmann,3,5/8/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-1,817,8,4/21/1997,mmann,6,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-10,817,7,4/21/1997,mmann,7,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-11,817,7,4/21/1997,mmann,6,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-2,817,7,4/21/1997,mmann,7,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-3,817,18,4/21/1997,mmann,19,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-4,817,8,4/21/1997,mmann,8,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-5,817,5,4/21/1997,mmann,4,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-6,817,6,4/21/1997,mmann,6,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-7,817,10,4/21/1997,mmann,9,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-8,817,7,4/21/1997,mmann,6,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130804-SABL-2-9,817,5,4/21/1997,mmann,5,5/6/97,Jomalley,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-1,818,4,4/3/1997,mmann,4,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-2,818,10,4/3/1997,mmann,11,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-3,818,24,4/3/1997,mmann,26,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-4,818,20,4/3/1997,mmann,19,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-5,818,27,4/3/1997,mmann,26,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-6,818,29,4/3/1997,mmann,24,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-7,818,38,4/3/1997,mmann,35,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-8,818,28,4/3/1997,mmann,28,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130056-SABL-2-9,818,39,4/3/1997,mmann,34,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-1,818,7,4/12/1997,mmann,7,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-10,818,5,4/12/1997,mmann,4,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-11,818,5,4/12/1997,mmann,5,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-12,818,3,4/12/1997,mmann,3,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-13,818,3,4/12/1997,mmann,3,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-14,818,3,4/12/1997,mmann,3,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-15,818,2,4/12/1997,mmann,4,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-16,818,4,4/12/1997,mmann,4,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-17,818,3,4/12/1997,mmann,3,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-18,818,3,4/12/1997,mmann,3,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-19,818,3,4/12/1997,mmann,3,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-2,818,4,4/12/1997,mmann,4,4/24/97,mmann,
1991,1997,CA,Commercial,SABL,CA9130437-SABL-1-20,818,3,4/12/1997,mmann,3,4/24/97,mmann,
