"#year","month","fleet","sex","partition","input_n","U-18","U-20","U-22","U-24","U-26","U-28","U-30","U-32","U-34","U-36","U-38","U-40","U-42","U-44","U-46","U-48","U-50","U-52","U-54","U-56","U-58","U-60","U-62","U-64","U-66","U-68","U-70","U-72","U-74","U-76","U-78","U-80","U-82","U-84","U-86","U-88","U-90","U-18.1","U-20.1","U-22.1","U-24.1","U-26.1","U-28.1","U-30.1","U-32.1","U-34.1","U-36.1","U-38.1","U-40.1","U-42.1","U-44.1","U-46.1","U-48.1","U-50.1","U-52.1","U-54.1","U-56.1","U-58.1","U-60.1","U-62.1","U-64.1","U-66.1","U-68.1","U-70.1","U-72.1","U-74.1","U-76.1","U-78.1","U-80.1","U-82.1","U-84.1","U-86.1","U-88.1","U-90.1"
2014,7,1,0,1,402,0.216441643908023,0.0668145944237809,0.124218682590691,0.800520398917788,1.50819112982086,2.72096409129924,2.97748550044665,5.87371875193841,13.2217881516871,23.7581761829623,21.880877888807,14.1024142865189,6.60395547802664,3.13244384937031,2.53330828434955,0.23338055517039,0.0790482525577126,0.0188210125137411,0,0,0.0564630375412233,0,0,0,0.0470525312843528,0,0.0345051896085253,0,0,0.00941050625687055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,1,0,1,288,0,0.174196755128114,0.0580655850427048,0,0.0580655850427048,0.0769261472954648,1.2091144967324,3.5566167233803,14.5151909114317,14.7875918809343,23.7883346059174,18.1095372591224,7.26762443641584,8.30385081966839,3.12187754593762,2.34356848774145,2.30354566415701,0.162583638119573,0.0616946841078738,0.0435491887820286,0.0145163962606762,0.0290327925213524,0,0.0145163962606762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,1,0,1,286,0.392272781689149,0.296205978010173,1.97403938948672,5.35972708858949,7.54967624349649,8.00361209272119,3.90059223628635,0.658337612120936,1.12327421458301,1.90037982450767,3.02337315715143,4.23956719073152,4.35867903404533,7.4881553484334,16.9787829411743,16.4026074740547,9.62399190084009,4.17001776426861,0.710932970573849,1.35727716725608,0.477437267187451,0.0110603227919873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,1,0,1,368,0.0967486104800646,0.647623351784922,0.615044738051839,2.07515897172547,3.36941844457613,4.83019083206254,8.55369602791945,10.4842021937911,12.436286217581,17.302085300198,17.9503365999714,11.0352932531774,6.37494834715957,1.34954369055156,1.40273132418692,0.892538839369235,0.167541893917693,0.181650452329917,0.0651572274661659,0.014808460787765,0.0533104588359539,0.0493615359592166,0.0306041522947143,0.0217190758220553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,1,0,1,217,0,0,0,0.0419434711660272,0.104858677915068,0.169172000369643,0.0545265125158354,0.368802950038425,1.04548532273948,2.79699735052406,4.31003300554654,27.375036237757,32.9329145729796,16.0784201342218,10.7645892687003,1.97981062474584,1.24175994699905,0.342043560154904,0.0958077183476621,0.0209717355830136,0.0104858677915068,0.266341041904273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,1,0,1,494,0,0.210027247076212,0.347942134641278,0.388054634619352,1.11576416626897,0.897476945737374,0.859654075989422,2.02975774781523,4.42735014445428,6.51121576208502,8.03768448835909,7.08862885389836,9.85242110108985,15.5254996370581,15.1076249449919,14.0322040445376,7.95066610114798,2.40253034792391,0.784597494889496,0.78478528749239,1.40453843556188,0.164055617887856,0.073013764005035,0,0,0,0,0,0,0,0,0,0,0,0,0.0045070224694466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,1,0,1,567,0.20823679289734,0.0799837521518683,0.186892521625363,1.44672511865427,2.05633832986123,5.06430746486801,4.79488650709607,3.83665994265524,4.26798679601855,7.91349767622731,11.382524158347,8.07132761409012,6.51307603377602,8.23977556289705,10.3174679599537,11.6306340047064,8.10480662278525,3.75998527466274,1.53106638835219,0.220905342865788,0.193312528853775,0.148368087720099,0.010411839644867,0,0,0,0.020823679289734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,1,0,1,710,0.101569173563801,0.083105703416206,0.265937981058385,0.933156428480974,1.92157078901763,1.95192993150241,2.01291411082014,2.71231740329295,6.34616004819125,15.8066261254314,19.0823945625273,19.1000308219729,14.1678973465251,5.49835408405848,3.82915567755626,3.00497373245726,2.054287374957,0.632112869802294,0.302539936051729,0.124476594207013,0,0,0,0.0456595367396904,0.0228297683698452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,1,0,1,826,0.545964634660162,0.964545985553128,0.984786677252033,2.30008308919051,1.31684733937951,3.41277965017301,4.06345598309488,7.22701126263857,7.49867158383151,7.15065512850919,10.3955498484982,12.3706647859472,17.8809904288575,11.0629798666505,7.26995925302599,3.52034642179887,0.979450336954672,0.70068280744672,0.0295952289546433,0.00741270050647836,0,0.295328885557179,0,0,0.00741270050647836,0.00741270050647836,0.00741270050647836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,1,0,1,791,0.287346083664658,0.210369744332775,0.357144360702006,1.09951554528766,1.7979979927127,2.27247991968351,2.13017659040418,2.9555076775357,3.11277028133965,4.0856385860539,7.93011051487074,14.1708335284865,14.4687228804276,17.346969094323,12.4176949179222,6.68519678945699,5.14138018721849,2.44565717034156,0.447526682222226,0.0843736466203886,0.32638193756172,0.113102934415914,0.113102934415914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5789473684211,0,0,0,0,0,68.4210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,2,0,1,97,0,0,0,0,0,0,0,0.061542181869317,0,0.52433938952658,0,1.1889949537152,3.74883695871756,4.24363610094686,5.31578852972862,9.0383073109359,7.39020768047559,9.15046811200575,8.39395692487576,17.8310159253284,9.02453495691641,12.0635262366157,6.16164132261487,3.90827613412979,0.832397884301327,0.132931112837725,0.9009775425668,0,0,0,0,0.0886207418918164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,2,0,1,218,0,0,0,0,0,0,0,0,0,0.0586196943771566,0.0146549235942892,1.38440178220718,0.187583022006901,0.970644439395085,4.52864519812501,5.26326080047961,13.1803974364907,14.304926820506,17.8915877487557,12.5054314470083,8.99524337282574,8.37857487158332,4.61204628424928,2.18065263083023,4.75740691080895,0.527995961497104,0.257926655259489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,2,0,1,258,0,0.0101825154639881,0,0,0,0,0,0,0,0.00509125773199407,0.190922164949777,0.0677379719199592,0.677186458857286,0.943554945620866,2.05945477055265,2.98582934931695,4.01011342380093,11.0882809915359,17.8989564295484,14.8198782755704,14.0405579396308,11.641280365945,9.47577491523221,5.23139873432165,3.21713575537285,0.813537505045899,0.358934789907131,0.30025294070521,0.126263191753453,0.0376753072167561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,2,0,1,111,0,0,0,0,0,0,0,0.109808041847008,1.77120371499223,3.42146645202977,11.6996433334262,14.7033506986717,6.35885100648888,4.86294700256199,1.7486930664136,5.17104370397866,7.21255821531761,9.88180869921529,4.89652359936115,5.21222171967129,1.75692866955212,4.24957121947919,16.0429549138478,0.395308950649227,0.0549040209235038,0.0549040209235038,0.395308950649227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,2,0,1,573,0,0,0.00565860065875298,0.00202092880669749,0.014550687408222,0.0586069353942273,0.0824518169009428,0.124827720067687,0.216334094726702,0.531471688747457,3.50780787791754,9.06778513307797,19.9718413918896,18.0275351630058,14.4205564288154,7.34057831073133,5.41653720492662,4.52820542654267,3.73879353439168,4.51777079400052,3.49165846948221,2.95943329343107,1.32342795315127,0.431560041414812,0.0553239887132136,0.0621951466559851,0.015359058930901,0.0836664525972763,0,0,0,0.00404185761339499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,2,0,1,439,0,0,0,0,0,0.066965184569868,0.0533513831037705,0.166955136634026,0.218551082780965,0.460988429744673,1.23761996453947,1.46321337058557,4.34470547341602,9.55919310149857,17.9250379998558,20.9158765214431,15.3982941730224,12.6454859365271,7.29361504347153,3.15407961816534,2.85087505134481,0.957593557391131,0.502437059402071,0.112443362793916,0.0788339785513658,0.27198942641261,0.0810203887315315,0.159854367282897,0,0,0.00218641018016567,0.0788339785513658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,2,0,1,539,0,0,0,0.0340457301789442,0.0226971534526295,0.00283714418157868,0,0,0.0844838489625653,0.14337224977395,0.46417789188259,2.2598356898905,6.93492815060142,12.4487192051431,13.7743665722087,16.6879451854247,15.1037245623939,17.1385807911044,9.22957202182729,3.56596856387015,1.16708860184023,0.527914473198438,0.253346467473563,0.0473232647218349,0,0,0,0.109072431869581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,2,0,1,216,0,0,0,0,0.00428108846570905,0.0299676192599634,0.0128432653971272,0,0,0.0376735784982396,0.0779158100759047,0.704094307152579,3.15169722242663,6.36066341363459,13.5857709909876,16.425919834884,24.4678034551577,19.5492296978515,9.04643176947429,2.92367517131393,2.54021469313081,0.642656243679682,0.414331525508532,0.0248303131011125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,2,0,1,173,0,0,0,0,0,0,0.0139977008311374,0.0139977008311374,0.298258702325005,0.0958304133824022,0.85924348178828,2.99873821651674,3.0224266333079,3.17640134245041,6.18052329005605,16.4024340508456,24.1154130134538,21.2795560442792,13.510652625295,6.1352999489093,1.06705550181978,0.465154366080874,0.158281694013631,0.134593277222475,0.0721419965912466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,2,0,1,498,0,0,0,0.00261688701285551,0.00261688701285551,0.0545807862681292,0.108787731534422,0.0900956814425968,0.0362625771781406,0.200752617986201,0.454061050147251,1.33448421612694,3.96842967378274,9.49927932843802,13.5920059409303,13.4528048354115,13.9720368654543,12.9730406287762,9.96224991500121,8.02557018062267,5.98157013938163,4.53465768893178,0.820615386974521,0.877404831310269,0,0.0560761502754752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,2,0,1,418,0,0,0,0.00821867713215223,0.00759663952358551,0.15547788891605,0.152080502906891,0.15016024124954,0.0653852305467836,0.599544279867897,1.82154508969279,2.49032614826651,4.442759284642,5.51918953153938,11.8233261343024,14.6927480000469,17.0654583759395,16.5499417483492,9.02367879124287,5.50040313225701,4.19946318091469,2.40444992166326,1.77166381940086,0.818726822518005,0.544901915182631,0.00506442634905701,0.187890217550015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,2,0,1,369,0,0,0,0,0,0,0.00255037998701858,0.00424563256662506,0.00765113996105575,0.185774553980879,0.34715515920505,0.785114911350553,1.36771105530594,3.30249836463204,7.31572590779481,13.8146368677475,20.8319030654373,23.4468588493109,13.9747175188922,6.68909864307239,3.66819323865521,1.92596753062789,0.345321450242316,0.959112900451455,0.299414610475982,0.506505465421891,0.0244836478753784,0.102015199480743,0.0484572197533531,0.0362153958156639,0.00867129195586319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7,2,0,1,499,0,0,0,0.00216457915255032,0.0606082162714091,0.0839856711189526,0.0242432865085636,0.0151520540678523,0.179835297497836,0.120350600881798,0.474659630920328,1.29781955524061,3.20292351866542,7.52976910325967,7.47262719177307,10.2833399877738,12.5618700853938,16.7921327584914,16.4599606645002,12.1748215547684,7.22809519272957,2.54134179644335,0.838857047458058,0.220538359171232,0.0594537740567156,0.202283741651391,0.0952414827122143,0.0389624247459058,0.0129874749153019,0.0129874749153019,0,0.0129874749153019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,2,0,1,484,0,0,0.0298902974287529,0.0647075669611463,0.0581382708229589,0.11003571031464,0.0801454128858868,0.144852979847033,0.00886854978655305,0.242735492306026,0.267370352824229,1.47371343115331,2.40366701723225,4.96577519879141,8.66632022833145,12.1304153897336,15.2942227842577,18.4614364858763,14.6670662676067,8.41775067803376,6.26351646954867,3.76847672967123,1.37232596326736,0.68025061510931,0.134999035639752,0.201677391442354,0.0916416811277148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,7,2,0,1,92,0,0,0,0,0,0,0,0,0.0669473185041923,0.11367096787691,0.743859094491026,2.64503896349434,0.338455887993417,1.44308664331259,7.43766112104215,9.96089315781358,12.8634933327754,15.3244271703832,12.3573592072322,11.7480146323283,10.1611152307474,5.1140312746258,3.62755285080124,4.16313139883478,1.48027959803714,0.205491074853146,0.205491074853146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,2,0,1,238,0,0,0,0,0,0.109592865032375,0.190892147262274,0.0413659343504553,0.324122689066338,0.460568410734319,2.01687523377451,2.67264319013274,2.48079946318727,1.43172103081063,3.00412626459821,4.57932493848818,8.40649961461617,12.129455550663,23.5122366125841,19.1752705311353,11.3126332994414,4.99338105198319,1.63631181830218,1.20763708679589,0.282309071443691,0,0.0161165977988787,0,0,0,0,0,0.0161165977988787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,2,0,1,270,0,0,0,0,0,0,0.70506624498006,0.00270380203250703,0.270655385090597,0.51713424654487,1.26946334677884,3.45508005062551,8.09953555904285,7.09871800996961,6.2805973181475,7.32280819474333,5.75294436563442,12.3791146405,14.5199731518378,13.9362659326003,9.30522858163774,5.08821983910076,2.54996854942935,0.602936547161651,0.493714251135783,0.0594836447151546,0.290388338291255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,2,0,1,336,0,0.0126252678781035,0.145716633426444,0.201068045193294,0.297909533098,0.540629968601148,0.540303947466461,0.586937299446267,0.362176888860389,0.630211411134642,2.46783361102562,3.26424142602949,2.54482545632531,5.49437772445637,8.14235691116444,11.8186376794116,11.372244955288,9.58144082477078,12.3880055748144,8.31563869903305,7.27024223136128,5.53080777680247,5.22226043773845,1.76883157828638,0.782309994386021,0.67386205473126,0.0445040692703148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,3,0,1,130,5.01830725624892,5.70272421717296,3.84646834782471,1.16846185105123,4.67384740420492,1.20898653952699,5.88958805847787,2.65099003778964,0.049530174803713,1.44763192721761,1.65138105538743,0.7767231957855,2.16811160812495,0.631081467672602,0.808242397933317,4.22723218423415,9.44144327621125,13.3793466201042,9.56822512672993,7.70201853254343,8.92515191791315,6.17652391270851,2.08529591947402,0.74975580379362,0.0529311670653847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,3,0,1,135,1.43774564666156,1.64664886027906,0.577555943530713,0.0660502807761188,0,0.0629781746935087,0.0629781746935087,0.0629781746935087,0,0.0737305459826443,0.0153605304130509,0.571411731365493,0.0153605304130509,0.451855602983914,2.93661546958284,7.63143718348993,15.3935279964305,16.4231129802358,18.4702684877762,12.9125914166336,9.45022137578446,7.81778152069163,1.66597861343584,0.571411731365493,0.35305483891247,0.618590503348435,0.258934655534286,0.391912961681556,0.0291850077847967,0.0307210608261018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,3,0,1,180,0,0,0,0,0,0,0,0,0,0,0,0,0.25236580051293,0.258290846675036,0.676985362671966,1.02366850919611,3.0333339944242,5.79237413404809,8.19842253989708,13.5844124338242,15.7082351710546,24.2497751927418,10.032394575292,9.88349594429838,2.74473736403176,2.94204549135604,0.987120301195829,0.63234233877994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,3,0,1,101,0,0,0,0,0,0,0.0274625834594105,0.0274625834594105,0.624773773701589,0.291503880678534,0.974349575653668,1.13340370485609,2.35463046306675,0.357871790705443,3.50067943459963,10.3955599411362,17.0213979444787,23.9354077219898,20.6181782012008,11.3290539266465,6.05134730520584,1.05044381732245,0.30647335183912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,3,0,1,230,0,0,0,0,0,0,0,0,0.128758579849262,0.229117073019201,2.476499623967,8.47287221107412,21.9579493847928,16.532646697404,7.65700454015843,3.17322081031938,9.32866835157586,10.0029197967961,5.97541219459543,7.11531825907682,5.69294178196395,0.708338488741034,0.104864384700018,0.0524321923500088,0.391035629616617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,3,0,1,229,0,0,0,0,0,0.0872986934137768,0.0872986934137768,0.11348830143791,0.0436493467068884,0.00793624485579789,0.00396812242789894,2.16818209460398,5.3670129186917,6.205854366567,9.1606090039656,26.4747462538151,20.2028067666476,13.5716868764194,6.5992270112404,1.2044693946223,3.06776249092815,2.24861801240978,1.70268712325683,0.81196053311278,0.516913501642358,0.18650175411125,0.0509242378247031,0.0773783873440294,0.00793624485579789,0.0271155032573095,0.00396812242789894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
