"year","sex","age","pred_weight"
1999,"M",27,2.11416162844162
1999,"M",28,1.91938118792472
1999,"M",29,2.02218302393477
1999,"M",30,2.19647665684287
1999,"U",0,0.141628730856731
1999,"U",1,0.277640374020006
1999,"U",2,0.553369368742324
1999,"U",3,0.950796165693181
1999,"U",4,1.42824671257044
1999,"U",5,1.63504853139114
1999,"U",6,1.66113104128804
1999,"U",7,1.72943173529635
1999,"U",8,1.94617271057513
1999,"U",9,2.14131648632723
1999,"U",10,2.10501994224563
1999,"U",11,2.07006664602425
1999,"U",12,1.97963807911785
1999,"U",13,1.93459734721527
1999,"U",14,1.83833774037393
1999,"U",15,1.80214453127252
1999,"U",16,1.96001025286423
1999,"U",17,2.02355225066879
1999,"U",18,2.11363227570049
1999,"U",19,2.27337684293151
1999,"U",20,2.31602996296798
1999,"U",21,2.54003020769034
1999,"U",22,2.50409704232796
1999,"U",23,2.58950596439236
1999,"U",24,2.76197134166508
1999,"U",25,2.92306442140802
1999,"U",26,3.06787330615485
1999,"U",27,3.41624516729573
1999,"U",28,3.23266259103894
1999,"U",29,3.37784070908073
1999,"U",30,3.52810501190308
2000,"F",0,0.213082083420027
2000,"F",1,0.43016226856664
2000,"F",2,0.739661840186781
2000,"F",3,1.18394793839767
2000,"F",4,1.58223342564118
2000,"F",5,1.93250380346023
2000,"F",6,1.9782492322637
2000,"F",7,1.97597966287968
2000,"F",8,2.12778539767004
2000,"F",9,2.46403523521305
2000,"F",10,2.6892529130342
2000,"F",11,2.55044398495269
2000,"F",12,2.44338783654001
2000,"F",13,2.38163282539946
2000,"F",14,2.49508129839607
2000,"F",15,2.59088124662882
2000,"F",16,2.69425683050356
2000,"F",17,2.91306870220006
2000,"F",18,2.80420350895447
2000,"F",19,2.65397240451776
2000,"F",20,2.63356133254885
2000,"F",21,2.59232539007183
2000,"F",22,2.85824631516044
2000,"F",23,2.84937993052831
2000,"F",24,2.88975798529369
2000,"F",25,2.89138110182791
2000,"F",26,2.79396041883626
2000,"F",27,2.70143729097001
2000,"F",28,2.88213043991809
2000,"F",29,2.7337209533011
2000,"F",30,2.94165951407074
2000,"M",0,0.206593443672864
2000,"M",1,0.409214064715644
2000,"M",2,0.682109625937123
2000,"M",3,1.03843929538046
2000,"M",4,1.30129670027584
2000,"M",5,1.49224203696457
2000,"M",6,1.46082678376445
2000,"M",7,1.43327236571804
2000,"M",8,1.54930953096986
2000,"M",9,1.81380483435473
2000,"M",10,1.98614954285304
2000,"M",11,1.86480731484712
2000,"M",12,1.75496087454861
2000,"M",13,1.68689395770643
2000,"M",14,1.76497590735097
2000,"M",15,1.85293164959811
2000,"M",16,1.9539869463677
2000,"M",17,2.12465614289492
2000,"M",18,2.02871080778392
2000,"M",19,1.88636433856925
2000,"M",20,1.84143348765855
2000,"M",21,1.80341740082305
2000,"M",22,2.0057085217142
2000,"M",23,2.03160563258317
2000,"M",24,2.08656001462513
2000,"M",25,2.09171107482949
2000,"M",26,2.00447236366943
2000,"M",27,1.91639110820758
2000,"M",28,2.0327266377179
2000,"M",29,1.93413880727526
2000,"M",30,2.10043316591562
2000,"U",0,0.14379426668553
2000,"U",1,0.300978533627124
2000,"U",2,0.540782260059205
2000,"U",3,0.9136983495238
2000,"U",4,1.29164312371506
2000,"U",5,1.64713218343604
2000,"U",6,1.71614799847793
2000,"U",7,1.69952242061329
2000,"U",8,1.78866415801413
2000,"U",9,2.02853075735331
2000,"U",10,2.19213244148077
2000,"U",11,2.07103230385674
2000,"U",12,1.95964849172022
2000,"U",13,1.84833320763625
2000,"U",14,1.84095473839023
2000,"U",15,1.82163391864622
2000,"U",16,1.85869686723298
2000,"U",17,2.06545515659344
2000,"U",18,2.12993691212904
2000,"U",19,2.19336440710032
2000,"U",20,2.32949206523175
2000,"U",21,2.36881530998822
2000,"U",22,2.61851364680852
2000,"U",23,2.60535293622872
2000,"U",24,2.69988741584402
2000,"U",25,2.85830744190085
2000,"U",26,2.98613276841534
2000,"U",27,3.09667045981175
2000,"U",28,3.42356140661349
2000,"U",29,3.23077225102744
2000,"U",30,3.37383452573813
2001,"F",0,0.24342519065159
2001,"F",1,0.513013837904519
2001,"F",2,0.941873707925528
