year,sex,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50
1996,0,0,0,0,967.989,805.9747,3871.9559,4029.8733,6289.8799,5965.8513,1773.9636,1611.9493,3547.9273,1611.9493,2417.924,805.9747,967.989,967.989,805.9747,0,1773.9636,0,805.9747,0,1773.9636,0,0,0,805.9747,0,0,805.9747,0,0,0,0,0,805.9747,0,0,0,0,0,805.9747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,3,0,0,817.4334,4558.1702,4566.4288,20482.8237,35570.5281,42129.4778,30442.3025,24379.5542,17294.1286,11833.1002,6251.3717,3726.7191,4201.409,2448.0972,3267.3105,2057.0924,2916.9514,1703.1495,0,700.7181,1089.1035,0,738.7444,350.3591,0,0,0,0,0,0,350.3591,0,738.7444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.6607,3080.4012,3663.1101,14771.3718,19612.0834,14878.7874,14918.4878,6643.825,10926.4348,5918.2066,6813.4777,5128.1084,3884.0561,2407.4515,3496.555,1005.1311,3267.3105,0,1918.0236,1089.1035,1401.4362,350.3591,350.3591,350.3591,700.7181,0,1051.0772,738.7444,1089.1035,0,0,0,350.3591,0,0,0,0,1089.1035,0,0,0,0,0,0,0,0,0,0,0
1997,3,0,0,12113.7151,37291.8832,42592.3097,31744.6359,33814.4338,38873.4357,34730.7047,20284.9685,15252.1032,4730.7484,11561.1949,3487.7152,3261.0423,4165.8325,2509.8331,2244.7444,2024.7286,1104.5403,981.2185,8.5185,0,0,12.3185,0,294.922,68.5063,0,273.238,0,0,0,198.6393,8.5185,0,0,0,0,58.6252,0,0,0,0,0,0,0,0,0,0,0,0,0,4791.7494,14564.1055,27192.2524,13856.0594,12236.2966,16923.4939,14576.6974,6640.2538,6692.168,6954.6948,4277.0771,3138.6344,5031.4402,2493.2105,1441.7889,2088.8718,4049.9953,49.7016,25.4558,153.7323,281.486,12.3185,273.238,430.4777,0,487.0533,0,0,0,967.989,0,0,0,0,0,967.989,0,273.238,0,0,0,0,0,0,0,0,0,0,437.5546
1998,0,0,0,0,95.3889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.9556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,3,0,0,0,5233.83,3562.4379,1560.8221,1114.3955,2595.3992,4832.8702,1777.9784,155.4704,267.7415,840.7372,557.1606,0,95.6751,165.3129,0,39.9962,26.5184,0,148.9556,0,23.0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3172.86,3507.2142,1019.6078,916.9451,1809.4247,1746.1323,1236.2042,1427.2572,719.0484,135.3851,902.7646,373.2997,0,0,277.2207,39.9962,0,0,0,0,0,0,39.9962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.2207,0,0,0,0,0,0,0
1999,3,0,0,95.2901,9723.5458,78065.9055,37480.4804,12372.3454,16807.9407,31493.1053,26896.428,16082.6461,3349.2832,4274.8625,5126.2425,5357.331,3053.9175,2284.9637,1703.4238,223.7719,383.8161,787.3336,0,1137.3586,0,0,399.8663,0,399.8663,0,0,0,0,0,0,0,0,223.7719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.619,3618.1226,23102.0611,10429.7178,5021.9405,5113.3542,7513.7294,9059.6983,3080.3095,3630.2448,3063.5186,929.3692,1221.2329,923.3331,1335.4449,238.4351,462.207,70.9473,284.5146,472.5466,523.3854,407.2154,529.5029,0,0,0,223.7719,0,0,0,0,0,0,0,546.0915,529.5029,0,0,0,0,0,0,207.9895,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.389,0,0,0,0,0,0,0,0,0,0,0,328.6754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,0,0,351.9321,1577.9119,22035.7762,48122.235,21700.713,8828.2875,9639.1819,17827.2656,19305.006,9288.2574,5097.8474,5767.2473,4836.4491,3126.2499,4690.3644,2483.5589,2806.2466,2122.1402,806.6615,2655.4013,328.6754,669.5274,1215.0885,355.2003,1621.5311,347.1275,1808.9168,314.3271,492.3344,419.9388,592.7234,1460.3233,438.1471,213.9381,884.6955,355.2003,213.9381,0,693.1733,0,438.1471,0,0,0,0,0,0,0,0,0,0,0,5313.9117,11593.6652,29718.5575,7810.1485,2643.6204,6117.7941,9653.2838,7747.9287,4325.7785,2241.3277,3586.2466,1501.7256,1903.736,1100.6648,967.989,1370.7696,0,1935.9779,208.0753,1625.3397,328.6754,2154.9958,731.456,0,0,2149.0786,0,0,402.7807,132.6759,1468.5642,492.3344,0,0,0,132.6759,0,402.7807,0,731.456,402.7807,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.4721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,3,0,311.0542,6728.629,5859.1401,8542.0734,13179.1386,42327.5717,28710.0795,12075.2343,11295.5028,9209.8418,11616.3609,6379.7159,9169.7474,6220.1431,8768.7589,8982.2181,4211.0318,1885.0002,6231.367,2613.0302,1193.1286,3826.0118,3352.4119,2901.7789,1533.4367,1622.9811,444.5334,1111.2768,0,569.9538,0,2448.8252,743.6543,745.2728,0,628.1893,433.6265,754.275,0,0,320.1209,0,1081.4945,967.989,967.989,0,0,0,0,1499.1084,0,500.7575,2807.7119,4671.7817,883.4103,7268.4011,14018.8964,8364.0365,6629.8433,2339.6145,4765.248,4158.2928,3208.0756,1375.0521,3177.204,1963.8861,220.489,2491.4866,1056.725,1383.027,3658.2419,2176.8597,1081.4945,3354.5114,1469.6023,3985.8639,986.795,1186.5617,1972.6104,967.989,1260.7369,194.5491,62.1272,0,1589.7274,967.989,0,115.8759,957.7341,328.6575,0,194.5491,194.5491,0,320.1209,320.1209,754.275,57.2156,0,0,220.489
2002,0,0,0,0,475.8377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,3,0,0,2725.6045,24518.8517,11085.2203,7979.2613,13954.6369,27766.0776,14658.9293,6367.1656,6743.8781,9064.1932,7605.2478,6128.6221,5532.0886,3318.0236,2296.7974,2515.0302,3916.2998,2667.2536,2136.5029,3778.4767,1823.6199,2876.927,3663.19,1468.8767,1751.0865,418.7612,606.8496,1544.4731,0,1654.6027,258.3068,1926.1555,337.4253,556.4898,418.7612,794.1602,0,963.2213,0,0,0,418.7612,0,0,0,0,0,0,0,0,0,500.8454,12356.645,2960.1632,2189.3243,694.4176,4061.2952,1492.9219,220.4273,1007.672,3826.2644,992.2697,1798.4667,869.3012,910.9268,2160.7072,2477.0817,967.989,1236.4114,967.989,910.9268,1204.4682,0,0,1935.9779,2894.1444,337.4253,1935.9779,967.989,2054.4503,1296.5936,1935.9779,1926.1555,0,1935.9779,958.1665,1305.4143,3871.9559,967.989,958.1665,1522.8415,495.9872,967.989,1935.9779,967.989,0,0,1760.909,967.989,1935.9779
2003,3,0,0,123.4064,18389.1985,59788.0767,16587.7368,6727.6646,12495.7347,29134.246,10390.0779,4343.7962,12721.7854,7917.752,8242.1176,2716.4075,4400.8992,967.989,1681.6994,0,713.7104,2247.1387,0,967.989,1935.9779,967.989,0,0,0,0,0,0,967.989,0,0,0,967.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11302.2293,15604.8053,3189.5099,2182.8658,611.9709,6666.0128,2217.943,1128.3892,1228.042,405.3419,3215.1276,713.7104,0,1935.978,0,0,780.4296,0,1091.3954,0,0,967.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,3,0,0,0,2799.9124,26784.9249,27340.1415,5402.1163,5047.2381,5319.122,6373.8184,2362.8908,2649.8775,1951.1102,180.1538,55.6208,1075.9541,55.6208,54.9168,0,77.5699,153.2479,1291.153,323.164,0,0,752.7901,0,327.3609,0,55.6208,0,0,0,0,323.164,0,327.3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873.4115,809.0176,219.667,615.2149,54.9168,1452.9496,751.0191,166.1767,222.5199,77.5699,54.9168,0,75.678,0,300.0898,846.0327,1177.8666,54.9168,0,77.5699,151.3559,0,650.5249,734.1356,0,77.5699,0,153.2479,75.678,0,500.6605,55.6208,0,222.5199,0,0,0,77.5699,111.2416,222.5199,0,0,0,0,0,0,111.2599,298.1978
2005,0,0,0,0,0,0,0,69.5399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,0,0,0,10963.097,34734.0585,115453.399,47767.5078,8816.1931,7059.9069,4820.7327,10816.1003,2012.6109,5014.4481,1569.4114,1601.0115,2010.6566,2874.5648,230.5994,130.8791,1071.9785,1189.1921,148.4736,1012.6801,293.0011,44.6911,29.3885,121.0625,470.7551,0,232.3698,46.9829,271.4569,97.5365,0,76.3714,97.5365,0,0,101.4906,0,29.3885,0,97.5365,46.9829,0,0,57.0066,0,27.6181,0,0,0,0,542.7247,2631.8706,12496.2722,27251.1754,10039.6031,2651.3152,1294.8198,1433.2481,1125.7046,662.4089,615.5506,1986.8374,371.4907,307.8091,310.1289,2257.3733,726.3,69.5399,242.7848,0,133.4136,374.0721,38.9701,0,0,0,0,97.5365,0,119.6843,0,0,0,310.1289,242.7848,221.2759,0,0,0,242.7848,0,0,0,0,69.5399,0,0,0,0
2006,0,0,0,0,0,0,68.1181,68.1181,0,34.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,3,0,0,556.2785,634.288,7077.9347,11412.5834,48856.5516,19552.9689,4189.8291,2484.5614,3748.817,4068.8165,1024.484,1799.6889,2067.8999,1107.3614,1736.3777,1419.9268,0,923.9807,277.8794,1320.4475,586.2448,45.2259,0,155.8881,0,477.6314,0,108.6133,87.4738,584.5041,0,0,108.6133,0,0,0,0,693.1174,0,0,0,0,0,0,0,0,0,0,477.6314,0,0,477.6314,1220.5327,5455.9871,7947.085,25892.3788,10310.9972,1882.2846,2743.4698,1819.1544,4427.3648,2533.2646,523.4171,2343.5343,1513.228,2140.3452,995.5193,0,976.0975,620.0979,568.2873,477.6314,584.5041,217.2267,0,108.6133,477.6314,0,0,0,108.6133,584.5041,108.6133,477.6314,477.6314,0,0,0,0,0,20.8346,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,333.5794,0,0,0,0,144.1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,3,0,131.1573,467.4133,4170.6342,6180.9341,25081.289,54267.6653,113067.1579,35955.8174,8287.6556,5124.7056,3512.3329,4688.2445,5611.1409,3134.3056,959.023,1328.1584,1388.2787,879.787,1116.6185,959.3106,457.8571,251.6272,1067.2269,147.1212,466.0847,1331.9269,481.2729,384.6234,378.1667,0,179.245,199.3417,159.4049,0,0,0,0,0,0,0,225.3486,0,0,0,0,0,0,0,0,0,0,58.9365,370.7582,1930.3634,2726.1445,13122.6842,12400.4588,23505.9195,7047.9544,1361.5074,820.8457,5748.8404,2639.6416,1936.7094,1376.3371,563.6573,2036.855,1413.4805,1167.8391,1010.1351,1398.3141,67.8242,149.7891,633.9119,1216.3956,0,0,0,790.5781,0,25.9413,0,11.5515,0,0,42.3124,0,286.8205,0,0,0,0,0,0,0,42.3124,151.0128,0,0,124.2772,0
2008,3,0,0,0,190.7154,2487.3507,1600.3269,5294.3501,6739.8882,25316.9571,9239.7521,1274.9898,387.1527,561.1717,2199.7565,1365.8238,407.6996,439.746,617.6746,559.9085,837.7047,0,0,286.6992,508.3412,0,221.642,0,0,68.6181,0,0,0,0,190.7154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842.6094,3178.8349,1277.0851,1103.8373,2932.6989,9509.9627,2202.6227,387.1297,68.6181,259.3335,917.9074,1044.0318,165.4877,531.657,585.1361,0,616.0857,0,0,0,221.642,0,0,0,0,68.6181,0,0,0,221.642,0,0,0,0,0,0,0,270.4633,0,0,0,0,0,0,0,0,0,0
2009,3,0,0,145.8836,3662.9476,2806.3469,34116.8981,18687.3108,25878.137,28219.1262,59569.7091,27799.8403,6050.2623,6200.3968,4293.111,2188.0655,2725.1806,1854.6867,2511.4738,2034.2836,4360.5836,2700.3499,3269.6079,2225.4502,2821.2051,2061.3171,0,458.6359,651.1928,462.4337,651.1928,967.989,720.4602,651.1928,939.4843,0,0,0,0,0,0,0,0,0,44.4462,0,0,0,0,0,0,720.2639,0,0,0,2429.8869,2179.3265,6541.6556,9097.2459,13749.5968,13923.0592,23444.7497,14289.5362,5700.7984,5251.6727,4687.6889,3988.5075,2375.759,1583.7278,3332.9525,911.8277,3422.8578,1236.6346,1215.7374,1690.3289,974.7444,283.7711,2028.9527,3576.2735,1516.9595,651.1928,1035.6581,1325.3592,0,105.8998,0,0,0,58.5713,0,0,652.7837,564.5446,651.1928,828.9401,283.7711,0,0,0,282.2723,351.3434,0,3397.038
2010,3,0,318.1478,10275.6311,3037.3963,5139.453,7621.852,22712.6359,13936.751,13141.7042,15487.2396,34209.7218,17175.142,9409.9762,6512.6104,5021.7941,4084.4289,1796.6651,1610.0472,143.1212,1208.1394,543.0189,602.1166,881.0062,705.1146,318.1478,2239.0794,912.7409,238.399,259.1294,643.3436,765.1097,212.2193,0,0,0,535.263,765.1097,0,321.6718,765.1097,70.47,157.3249,0,118.2144,1209.9185,0,0,0,0,0,114.5074,0,0,8992.0142,1308.7347,6994.9694,2174.2168,7370.6152,6257.2764,8886.467,12083.0241,15961.7351,10183.9996,3278.1048,2022.4825,2485.5276,545.3092,155.8026,1900.2947,2402.2345,544.6398,1290.3593,564.7927,52.726,476.5093,70.47,342.9682,143.0344,443.5697,36.3798,0,837.4516,209.7978,70.47,539.9723,0,24.8204,24.8204,208.0573,0,0,0,0,1327.8081,0,0,0,0,24.8204,0,0,70.47
2011,3,0,0,1285.0066,37894.1516,6315.2492,3507.6332,5126.221,3926.0053,10538.9533,7158.5723,7317.75,13995.3551,10486.5979,4445.443,3249.7531,4742.9534,3049.1384,3138.5331,2131.0384,684.1003,2165.0663,1014.3022,292.864,1510.6747,317.6254,1362.5526,1224.0187,453.6658,2083.491,713.9017,461.4208,331.3655,110.2549,0,192.8254,0,680.0295,0,0,0,0,192.8254,304.7428,0,411.3186,226.3637,680.0295,0,0,0,0,0,0,1142.2652,17820.2053,978.1392,2675.2094,3767.1161,1926.4518,2638.7638,5885.1042,3809.6277,8680.1793,4852.6471,1404.7471,1201.4418,645.3191,1513.5765,788.186,472.0835,244.7813,1194.3527,329.9505,244.7813,494.562,226.3637,1152.1073,301.4916,244.7813,317.0178,987.3226,7.755,7.755,639.9252,18.4176,304.7428,18.4176,453.6658,0,0,0,0,226.3637,0,0,0,0,78.3791,0,0,18.4176,639.9252
2012,0,0,0,0,101.9498,105.7412,220.2942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895.4338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,0,217.8528,4324.8437,10019.8641,82480.2125,23509.6393,8904.4163,4224.2702,10364.5874,18133.4577,11689.8608,13629.5222,16326.8058,14843.5286,7835.711,5545.9158,3100.7443,3404.5972,2190.9485,765.3279,1949.6699,2483.0934,699.5551,916.559,0,290.7433,1228.3092,2045.7044,1852.512,395.779,0,0,505.1597,1455.6094,125.9515,1193.5687,1155.1916,0,0,0,282.047,101.9498,90.4083,0,0,0,0,0,0,0,135.2981,0,217.8528,3324.1574,4436.9765,21155.3524,5250.0337,3064.2137,1200.5909,4769.7564,2119.0856,4356.3795,5341.8336,8715.3364,3472.6093,4782.4346,4985.4014,2351.4391,2805.6334,613.0693,1065.7813,2866.6573,1011.1722,1406.7023,145.34,0,3110.0961,1011.7089,291.9044,1688.8194,1062.1188,355.7934,1045.2531,967.989,1040.5763,895.4338,0,145.1426,149.8194,94.1298,0,0,0,145.34,0,149.8194,94.1298,0,895.4338,0,0,0
2013,0,0,0,0,0,187.9919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
