"year","seas","fleet","catch_mt","catch_se"
1927,1,2,2205.9889,0.01
1928,1,2,1820.9264,0.01
1929,1,2,1814.8532,0.01
1930,1,2,2096.5126,0.01
1931,1,2,1073.2763,0.01
1932,1,2,1351.0085,0.01
1933,1,2,1102.498,0.01
1934,1,2,1971.3654,0.01
1935,1,2,2499.4337,0.01
1936,1,2,2021.8031,0.01
1937,1,2,2301.225,0.01
1938,1,2,2221.8747,0.01
1939,1,2,2453.0772,0.01
1940,1,2,1881.6594,0.01
1941,1,2,1655.7459,0.01
1942,1,2,2305.8454,0.01
1943,1,2,1858.4078,0.01
1944,1,2,1511.5905,0.01
1945,1,2,1730.5456,0.01
1946,1,2,2799.3095,0.01
1947,1,2,1722.2143,0.01
1948,1,2,1906.5596,0.01
1949,1,2,2014.9752,0.01
1950,1,2,1642.7035,0.01
1951,1,2,2278.0919,0.01
1952,1,2,1492.68,0.01
1953,1,2,1026.871,0.01
1954,1,2,1376.4297,0.01
1955,1,2,1341.1448,0.01
1956,1,2,1043.0058,0.01
1957,1,2,1658.9336,0.01
1958,1,2,802.4191,0.01
1959,1,2,1260.3646,0.01
1960,1,2,1755.0003,0.01
1961,1,2,1082.0338,0.01
1962,1,2,1032.441,0.01
1963,1,2,978.5657,0.01
1964,1,2,1030.4494,0.01
1965,1,2,934.8624,0.01
1966,1,2,770.2467,0.01
1967,1,2,2487.8729,0.01
1968,1,2,1447.0189,0.01
1969,1,2,3396.2863,0.01
1970,1,2,1653.0044,0.01
1971,1,2,1227.3653,0.01
1972,1,2,2809.52,0.01
1973,1,2,945.4216,0.01
1974,1,2,1947.1467,0.01
1975,1,2,1592.7056,0.01
1976,1,2,1200.9669,0.01
1977,1,2,1510.4767,0.01
1978,1,2,1848.6754,0.01
1979,1,2,4487.2859,0.01
1980,1,2,1371.3316,0.01
1981,1,2,1975.2269,0.01
1982,1,2,1775.1685,0.01
1983,1,2,1163.3741,0.01
1984,1,2,1001.9145,0.01
1985,1,2,2761.8531,0.01
1986,1,2,3532.5391,0.01
1987,1,2,3972.9436,0.01
1988,1,2,3067.9616,0.01
1989,1,2,2430.8645,0.01
1990,1,2,2205.0608,0.01
1991,1,2,3450.4388,0.01
1992,1,2,3097.6584,0.01
1993,1,2,2338.178,0.01
1994,1,2,2376.2443,0.01
1995,1,2,2991.8916,0.01
1996,1,2,3362.5017,0.01
1997,1,2,3586.7791,0.01
1998,1,2,1758.6928,0.01
1999,1,2,2719.5554,0.01
2000,1,2,2714.8153,0.01
2001,1,2,2363.4533,0.01
2002,1,2,1754.2863,0.01
2003,1,2,2313.4578,0.01
2004,1,2,2524.6181,0.01
2005,1,2,2809.0758,0.01
2006,1,2,2606.4453,0.01
2007,1,2,2065.3649,0.01
2008,1,2,2302.531,0.01
2009,1,2,3271.8658,0.01
2010,1,2,3387.3163,0.01
2011,1,2,3242.593,0.01
2012,1,2,2605.7952,0.01
2013,1,2,1875.7896,0.01
2014,1,2,2011.0185,0.01
2015,1,2,2356.7434,0.01
2016,1,2,2534.9673,0.01
2017,1,2,2416.3682,0.01
2018,1,2,2460.0252,0.01
2019,1,2,2274.9634,0.01
2020,1,2,1503.4311,0.01
2021,1,2,1885.6065,0.01
2022,1,2,2299.8226,0.01
2023,1,2,2270.201,0.01
2024,1,2,1912.153,0.01
1890,1,3,0,0.01
1891,1,3,0,0.01
1892,1,3,0,0.01
1893,1,3,0,0.01
1894,1,3,0,0.01
1895,1,3,0,0.01
1896,1,3,0,0.01
1897,1,3,0,0.01
1898,1,3,0,0.01
1899,1,3,0,0.01
1900,1,3,0,0.01
1901,1,3,0,0.01
1902,1,3,0,0.01
1903,1,3,0,0.01
1904,1,3,0,0.01
1905,1,3,0,0.01
1906,1,3,0,0.01
1907,1,3,0,0.01
1908,1,3,0,0.01
1909,1,3,0,0.01
1910,1,3,0,0.01
1911,1,3,0,0.01
1912,1,3,0,0.01
1913,1,3,0,0.01
1914,1,3,0,0.01
1915,1,3,0,0.01
1916,1,3,0,0.01
1917,1,3,0,0.01
1918,1,3,0,0.01
1919,1,3,0,0.01
1920,1,3,0,0.01
1921,1,3,0,0.01
1922,1,3,0,0.01
1923,1,3,0,0.01
1924,1,3,0,0.01
1925,1,3,0,0.01
1926,1,3,0,0.01
1927,1,3,0,0.01
1928,1,3,0,0.01
1929,1,3,0,0.01
1930,1,3,0,0.01
1931,1,3,0,0.01
1932,1,3,0,0.01
1933,1,3,0,0.01
1934,1,3,0,0.01
1935,1,3,0,0.01
1936,1,3,0,0.01
1937,1,3,0,0.01
1938,1,3,0,0.01
1939,1,3,0,0.01
1940,1,3,0,0.01
1941,1,3,0,0.01
1942,1,3,0,0.01
1943,1,3,0,0.01
1944,1,3,0,0.01
1945,1,3,0,0.01
1946,1,3,0,0.01
1947,1,3,0,0.01
1948,1,3,0,0.01
1949,1,3,0,0.01
1950,1,3,0,0.01
1951,1,3,0,0.01
1952,1,3,0,0.01
1953,1,3,0,0.01
1954,1,3,0,0.01
1955,1,3,0,0.01
1956,1,3,0,0.01
1957,1,3,0,0.01
1958,1,3,0,0.01
1959,1,3,0,0.01
1960,1,3,0,0.01
1961,1,3,0,0.01
1962,1,3,0,0.01
1963,1,3,0,0.01
1964,1,3,0,0.01
1965,1,3,0,0.01
1966,1,3,0,0.01
1967,1,3,0,0.01
1968,1,3,0,0.01
1969,1,3,14.5476,0.01
1970,1,3,113.9573,0.01
1971,1,3,180.7755,0.01
1972,1,3,272.8428,0.01
1973,1,3,452.4884,0.01
1974,1,3,3177.31,0.01
1975,1,3,8742.8866,0.01
1976,1,3,19304.3541,0.01
1977,1,3,3724.1704,0.01
1978,1,3,5845.1799,0.01
1979,1,3,12248.9727,0.01
1980,1,3,2990.5549,0.01
1981,1,3,3897.4347,0.01
1982,1,3,6511.357,0.01
1983,1,3,5954.868,0.01
1984,1,3,4400.6537,0.01
1985,1,3,3870.4333,0.01
1986,1,3,2945.823,0.01
1987,1,3,2077.3507,0.01
1988,1,3,2133.0103,0.01
1989,1,3,2046.7054,0.01
1990,1,3,1664.2521,0.01
1991,1,3,1063.8256,0.01
1992,1,3,798.4143,0.01
1993,1,3,847.428,0.01
1994,1,3,1369.8152,0.01
1995,1,3,1065.1109,0.01
1996,1,3,750.3528,0.01
1997,1,3,584.1375,0.01
1998,1,3,447.6626,0.01
1999,1,3,755.3391,0.01
2000,1,3,852.4665,0.01
2001,1,3,672.8209,0.01
2002,1,3,472.0323,0.01
2003,1,3,798.8838,0.01
2004,1,3,815.1378,0.01
2005,1,3,996.4223,0.01
2006,1,3,1052.5435,0.01
2007,1,3,686.6054,0.01
2008,1,3,674.8656,0.01
2009,1,3,864.0877,0.01
2010,1,3,904.9008,0.01
2011,1,3,1448.3171,0.01
2012,1,3,1166.8844,0.01
2013,1,3,845.8005,0.01
2014,1,3,1108.3423,0.01
2015,1,3,1315.0169,0.01
2016,1,3,1403.0089,0.01
2017,1,3,1427.4659,0.01
2018,1,3,1289.401,0.01
2019,1,3,1464.4972,0.01
2020,1,3,1332.3266,0.01
2021,1,3,1327.9508,0.01
2022,1,3,1664.5446,0.01
2023,1,3,1934.7768,0.01
2024,1,3,1482.6131,0.01
