"year","state","gear_group","catch_mt"
1973,"OR","pot",0
1973,"OR","trawl",531.6351
1974,"CA","hkl",177.2402
1974,"CA","pot",2793.9081
1974,"CA","trawl",2491.3436
1974,"OR","hkl",1.3608
1974,"OR","pot",0
1974,"OR","trawl",301.8213
1975,"CA","hkl",217.6076
1975,"CA","pot",3104.8236
1975,"CA","trawl",3084.0301
1975,"OR","hkl",0.0907
1975,"OR","pot",0
1975,"OR","trawl",350.2569
1976,"CA","hkl",230.2143
1976,"CA","pot",2988.8211
1976,"CA","trawl",2829.9827
1976,"OR","hkl",1.2143
1976,"OR","pot",0
1976,"OR","trawl",500.4128
1977,"CA","hkl",322.0408
1977,"CA","pot",3198.093
1977,"CA","trawl",2521.9502
1977,"OR","hkl",14.1411
1977,"OR","pot",0
1977,"OR","trawl",419.1188
1978,"CA","hkl",333.318
1978,"CA","pot",5029.7111
1978,"CA","trawl",2676.5372
1978,"OR","hkl",320.5029
1978,"OR","pot",329.0032
1978,"OR","trawl",1083.6308
1979,"CA","hkl",792.2087
1979,"CA","pot",7481.1761
1979,"CA","trawl",4690.2079
1979,"OR","hkl",1821.1276
1979,"OR","pot",4351.0181
1979,"OR","trawl",1554.5245
1980,"CA","hkl",346.425
1980,"CA","pot",1362.9033
1980,"CA","trawl",2928.9488
1980,"OR","hkl",379.6109
1980,"OR","pot",1241.0487
1980,"OR","trawl",1116.6235
1981,"CA","hkl",788.0268
1981,"CA","pot",2348.8089
1981,"CA","trawl",3581.5637
1981,"OR","hkl",700.6401
1981,"OR","pot",277.1722
1981,"OR","trawl",1371.6759
1981,"WA","hkl",426.8627
1981,"WA","pot",1153.9975
1981,"WA","trawl",451.8016
1982,"CA","hkl",747.2197
1982,"CA","pot",3436.9698
1982,"CA","trawl",5471.7657
1982,"OR","hkl",641.2472
1982,"OR","pot",1457.1405
1982,"OR","trawl",2991.3191
1982,"WA","hkl",310.7512
1982,"WA","pot",1196.3104
1982,"WA","trawl",1480.6417
1983,"CA","hkl",282.986
1983,"CA","pot",3170.7704
1983,"CA","trawl",3241.0423
1983,"OR","hkl",551.4345
1983,"OR","pot",1317.8274
1983,"OR","trawl",2773.1509
1983,"WA","hkl",328.9358
1983,"WA","pot",1466.2702
1983,"WA","trawl",1519.2876
1984,"CA","hkl",52.2842
1984,"CA","pot",1569.3176
1984,"CA","trawl",3205.1715
1984,"OR","hkl",226.8184
1984,"OR","pot",1828.3655
1984,"OR","trawl",2782.8503
1984,"WA","hkl",722.8119
1984,"WA","pot",1002.9707
1984,"WA","trawl",2624.4444
1985,"CA","hkl",454.2041
1985,"CA","pot",1120.6554
1985,"CA","trawl",3599.1567
1985,"OR","hkl",514.3957
1985,"OR","pot",1898.5794
1985,"OR","trawl",2859.7408
1985,"WA","hkl",1793.2533
1985,"WA","pot",851.1986
1985,"WA","trawl",1041.1014
1986,"CA","hkl",786.5702
1986,"CA","pot",1487.8922
1986,"CA","trawl",3945.7811
1986,"OR","hkl",1078.7216
1986,"OR","pot",1424.0035
