"Year","Quantity","Assessment_Year","Value"
1986,"SSB","2015",103066
1987,"SSB","2005",136769
1987,"SSB","2007",135740
1987,"SSB","2011",128737
1987,"SSB","2015",98263.9
1988,"SSB","2005",134318
1988,"SSB","2007",128070
1988,"SSB","2011",124548
1988,"SSB","2015",94832.5
1989,"SSB","2005",130329
1989,"SSB","2007",121875
1989,"SSB","2011",121772
1989,"SSB","2015",92958.2
1990,"SSB","2005",127067
1990,"SSB","2007",116672
1990,"SSB","2011",119233
1990,"SSB","2015",91350
1991,"SSB","2005",124268
1991,"SSB","2007",112358
1991,"SSB","2011",116773
1991,"SSB","2015",89999.2
1992,"SSB","2005",122065
1992,"SSB","2007",108787
1992,"SSB","2011",114912
1992,"SSB","2015",88797
1993,"SSB","2005",120140
1993,"SSB","2007",105902
1993,"SSB","2011",114145
1993,"SSB","2015",88626
1994,"SSB","2005",118875
1994,"SSB","2007",103341
1994,"SSB","2011",112799
1994,"SSB","2015",88044
1995,"SSB","2005",116921
1995,"SSB","2007",100408
1995,"SSB","2011",110589
1995,"SSB","2015",86756.6
1996,"SSB","2005",113201
1996,"SSB","2007",96348.9
1996,"SSB","2011",106824
1996,"SSB","2015",84140.4
1997,"SSB","2005",107854
1997,"SSB","2007",91846
1997,"SSB","2011",102798
1997,"SSB","2015",81207.7
1998,"SSB","2005",102859
1998,"SSB","2007",88183.7
1998,"SSB","2011",99603.1
1998,"SSB","2015",79241.3
1999,"SSB","2005",99856
1999,"SSB","2007",86069.7
1999,"SSB","2011",96766
1999,"SSB","2015",77759.4
2000,"SSB","2005",95567
2000,"SSB","2007",82138.1
2000,"SSB","2011",92141.7
2000,"SSB","2015",74570.7
2001,"SSB","2005",91135
2001,"SSB","2007",78033.7
2001,"SSB","2011",87301.1
2001,"SSB","2015",71065.9
2002,"SSB","2005",87240
2002,"SSB","2007",76036.2
2002,"SSB","2011",85517.7
2002,"SSB","2015",70426.1
2003,"SSB","2005",86657
2003,"SSB","2007",79135.5
2003,"SSB","2011",85931.4
2003,"SSB","2015",72244.4
2004,"SSB","2005",87628
2004,"SSB","2007",83707.3
2004,"SSB","2011",86324.1
2004,"SSB","2015",74192.1
